64,66,52,57,68,66,71
62,72,58,57,61,69,46
61,54,63,61,61,76,65
68,55,60,61,66,74,70
54,63,56,74,53,54,62
69,59,66,63,62,71,71
74,70,64,65,61,67,49
79,66,67,52,57,62,55
55,58,73,79,59,57,57
45,53,49,66,57,59,58
58,64,75,62,71,64,69
64,70,57,58,76,69,56
57,68,64,50,57,63,52
81,65,62,69,66,82,55
51,53,62,57,78,64,65
66,67,58,61,72,64,57
59,59,63,58,55,64,57
69,64,70,41,55,72,45
60,68,70,78,58,54,63
59,74,66,63,73,86,60
75,70,57,64,76,62,65
58,66,56,80,62,58,51
68,53,66,60,57,54,53
68,70,57,52,73,74,68
84,59,59,72,43,57,55
62,70,66,72,71,62,69
71,67,52,70,58,54,58
70,54,76,66,75,63,76
50,61,93,62,74,70,63
62,67,64,59,76,74,40
66,56,72,69,70,83,53
60,70,61,55,36,52,56
71,71,70,53,44,61,67
57,61,79,44,63,62,67
71,63,67,58,69,52,61
70,70,67,54,59,65,51
62,68,63,59,74,60,46
56,52,72,76,69,79,63
65,66,63,47,65,56,70
45,51,62,70,75,61,68
54,53,76,58,80,64,56
64,51,64,62,67,63,52
67,73,75,63,60,68,59
63,57,54,54,60,73,63
64,70,49,79,58,65,74
65,71,62,58,68,68,56
57,60,63,60,60,49,58
62,64,71,68,66,61,62
66,74,63,70,61,59,74
69,57,65,53,66,68,64
53,62,71,73,56,71,63
57,56,68,72,57,72,66
